Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Violent,Personal Violence,Assault,137 ST/175 ST,15782,2025/02/22,-12641221.9323,7088116.4624
Non-Violent,Property,Break and Enter Commercial,50 AV/87 ST,15783,2025/02/21,-12629982.8913,7073549.416
Non-Violent,Property,Break and Enter Residential,WATT BV SW/WATT CM SW,15784,2025/02/22,-12626268.2359,7061339.6355
Disorder,Disputes/Disturbances,Dispute,110 AV/153A ST,15785,2025/02/22,-12644292.3345,7086504.9812
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,15786,2025/02/22,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,15787,2025/02/22,-12638651.2484,7094849.6181
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,15788,2025/02/22,-12624378.4956,7094314.4636
Non-Violent,Property,Theft Under $5000,137 AV/42 ST,15789,2025/02/22,-12624378.4956,7094314.4636
Weapons,Weapons Violations,Weapons Complaint Firearm,108 AV/155 ST,15790,2025/03/23,-12644627.9134,7085877.1223
Violent,Personal Violence,Robbery Personal,115 AV/KINGSWAY ,15791,2025/03/22,-12637393.4271,7088453.0411
Non-Violent,Property,Break and Enter Residential,122 AV/96 ST,15792,2025/03/23,-12633696.2062,7090378.6322
Non-Violent,Property,Theft Under $5000,115 ST/UNIVERSITY AV,15793,2025/03/23,-12637973.3317,7079182.6452
Disorder,Disputes/Disturbances,Disturbance,113 ST/22 AV,15794,2025/03/22,-12637090.8743,7067161.8219
Non-Violent,Property,Break and Enter Residential,77 ST/88 AV,15795,2025/03/23,-12628926.8063,7080449.1532
Violent,Personal Violence,Robbery Personal,111 ST/111 ST,15796,2025/03/23,-12636109.4864,7084636.9982
Disorder,Mischief/Graffiti,Mischief - Property,134 ST/166 AV,15797,2025/03/23,-12640798.2821,7100035.6605
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,15798,2025/03/23,-12634194.1239,7073320.7994
Disorder,Mischief/Graffiti,Mischief - Property,117 AV/124 ST,15799,2025/03/24,-12638763.1339,7088840.9496
Non-Violent,Property,Fraud General,27 AV/83 ST,15800,2025/03/22,-12630457.8032,7068150.1978
Non-Violent,Property,Theft Under $5000,SOUTHGATE TC/SOUTHGATE TC,15801,2025/03/22,-12636580.8627,7073133.1787
Disorder,Provincial Statute Violations,Intoxicated Person,34A AV/60 ST,15802,2025/03/23,-12626987.8946,7069696.294
Non-Violent,Property,Possession Stolen Property,128 AV/97 ST,15803,2025/03/24,-12633872.371,7092044.0072
Drugs,Drug Violations,Drugs,31 AV/YOUVILLE DR,15804,2025/03/23,-12627229.4864,7068988.6429
Disorder,General Disorder,Trouble with Person,106 ST/47 AV,15805,2025/03/21,-12635246.577,7073179.4538
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,29 ST/12 AV,15806,2025/03/23,-12621877.2699,7064620.3086
Non-Violent,Property,Theft Under $5000,STROM LN/STROM LN,15807,2025/03/24,-12642315.1929,7065293.9761
Disorder,Mischief/Graffiti,Mischief - Property,102 AV/104 ST,15808,2025/03/23,-12635802.8901,7084079.9169
Disorder,General Disorder,Trouble with Person,164 AV/54 ST,15809,2025/03/24,-12625657.9832,7099633.6063
Non-Violent,Property,Theft Under $5000,111 AV/GROAT RD,15810,2025/03/23,-12640559.4848,7087066.9332
Non-Violent,Property,Theft Under $5000,104 AV/117 ST,15811,2025/03/24,-12637337.8268,7084680.7518
Non-Violent,Property,Fraud General,87 AV/87 AV,15812,2025/03/23,-12649210.5195,7080006.9955
Non-Violent,Property,Theft Under $5000,170 ST/95 AV,15813,2025/03/24,-12647670.0749,7081970.5045
Disorder,Provincial Statute Violations,Intoxicated Person,103 AV/189 ST,15814,2025/03/24,-12635876.0876,7084377.8582
Non-Violent,Property,Theft Under $5000,TREDGER CT/TREDGER CT,15815,2025/03/24,-12642162.5123,7065449.7293
Non-Violent,Property,Fraud - Financial,100A ST/103 AV,15816,2025/03/23,-12633918.1651,7084536.7509
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,15817,2025/03/23,-12625048.6376,7094220.1598
Disorder,General Disorder,Trouble with Person,73 ST/81 AV,15818,2025/03/23,-12628066.7838,7079216.368
Non-Violent,Property,Fraud - Financial,HORNER RD/HORNER RD,15819,2025/03/22,-12622528.334,7092056.152
Non-Violent,Property,Theft of Motor Vehicle,119 ST/FAIRWAY DR,15820,2025/03/23,-12639117.2235,7070912.087
Non-Violent,Property,Theft of Motor Vehicle,131 AV/35 ST,15821,2025/03/24,-12623079.8861,7093107.0371
Non-Violent,Property,Theft of Motor Vehicle,105 ST/56 AV,15822,2025/03/24,-12634799.8262,7074760.9407
Disorder,Provincial Statute Violations,Intoxicated Person,117 ST/146 AV,15823,2025/03/24,-12637304.0107,7096301.4623
Non-Violent,Property,Possession Stolen Property,102 AV/103 AV,15824,2025/03/23,-12623329.9164,7086681.6201
Disorder,Mischief/Graffiti,Mischief - Property,119 ST/FAIRWAY DR,15825,2025/03/15,-12639117.2235,7070912.087
Non-Violent,Property,Theft Under $5000,118 AV/36 ST,15826,2025/03/14,-12623282.0281,7089206.0254
Non-Violent,Property,Theft Under $5000,111 ST/SOUTHGATE TC,15827,2025/03/14,-12636599.8889,7073488.0574
Non-Violent,Property,Theft Under $5000,175 ST/STONY PLAIN RD,15828,2025/03/15,-12648183.4143,7083771.2949
Non-Violent,Property,Break and Enter Commercial,30 ST/30 ST,15829,2025/03/15,-12622258.1536,7075589.3645
Non-Violent,Property,Internet Fraud,CHALMERS WY SW/CHAPPELLE BV SW,15830,2025/03/14,-12643124.9997,7058414.6244
Violent,Personal Violence,Assault,ROYAL ALEXANDRA HOSPITAL TC/ROYAL ALEXANDRA HOSPIT,15831,2025/03/15,-12634996.5573,7086998.0969
Non-Violent,Property,Fraud Personal,61 AV/GATEWAY BV,15832,2025/03/14,-12633977.2024,7075820.4784
Disorder,Mischief/Graffiti,Mischief - Property,87 AV/149 ST,15833,2025/03/15,-12643399.9114,7079696.6049
Disorder,Disputes/Disturbances,Dispute,122 ST/115 AV,15834,2025/03/14,-12638376.2212,7088246.3451
Non-Violent,Property,Theft of Motor Vehicle,123 ST/104 AV,15835,2025/03/15,-12638561.6092,7084676.4305
Non-Violent,Property,Fraud Personal,103A AV/96 ST,15836,2025/03/15,-12632955.6873,7084877.394
Non-Violent,Property,Break and Enter Residential,107 ST/GOVERNMENT CENTRE TC,15837,2025/03/15,-12635263.988,7082904.1851
Non-Violent,Property,Fraud General,100 AV/115 ST,15838,2025/03/15,-12636929.2123,7083299.5304
Disorder,Disputes/Disturbances,Dispute,127 AV/127 AV,15839,2025/03/15,-12632753.9386,7091928.7345
Non-Violent,Property,Fraud - Financial,STADIUM RD/STADIUM TC,15840,2025/03/15,-12631789.2175,7087275.8187
Violent,Personal Violence,Assault,84 ST/84 ST,15841,2025/03/15,-12631519.4656,7086822.0182
Disorder,General Disorder,Trespassing,100 AV/167 ST,15842,2025/03/15,-12646859.3589,7083380.1674
Disorder,General Disorder,Trouble with Person,62 ST/GRAND MEADOW CR,15843,2025/03/15,-12627325.3113,7071717.8358
Non-Violent,Property,Theft Under $5000,AIRPORT RD/KINGSWAY ,15844,2025/03/15,-12636950.3814,7088310.2447
Non-Violent,Property,Break and Enter Commercial,159 ST/STONY PLAIN RD,15845,2025/03/14,-12645407.7345,7083757.6344
Non-Violent,Property,Fraud Personal,ALBANY PL/ALBANY PL,15846,2025/03/15,-12641106.7983,7100426.6793
Non-Violent,Property,Theft Under $5000,102 ST/137 AV,15847,2025/03/15,-12634240.362,7094681.0376
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,ALLARD BV SW/ALLBRIGHT CT SW,15848,2025/03/14,-12638168.1746,7056838.1963
Disorder,General Disorder,Trespassing,100 ST/105A AV,15849,2025/03/15,-12633845.0477,7085163.5066
Non-Violent,Property,Theft Under $5000,101 ST/JASPER AV,15850,2025/03/15,-12634064.0686,7083690.2726
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,15851,2025/03/15,-12637398.478,7088630.7819
Non-Violent,Property,Break and Enter Commercial,128A AV/170 ST,15852,2025/03/15,-12647529.3232,7092086.3498
Disorder,Disputes/Disturbances,Dispute,98A AV/180 ST,15853,2025/03/15,-12649350.5968,7082527.5265
Violent,Personal Violence,Robbery Personal,SUMMERSIDE DR SW/SUMMERSIDE DR SW,15854,2025/03/15,-12630633.0003,7061862.959
Non-Violent,Property,Theft Under $5000,140 AV/66 ST,15855,2025/03/15,-12628407.7906,7095176.4791
Disorder,General Disorder,Trouble with Person,103 AV/103 ST,15856,2025/03/15,-12634471.7615,7084375.3343
Disorder,Disputes/Disturbances,Dispute,HYNDMAN CR/HYNDMAN RD,15857,2025/03/15,-12621025.4736,7090436.8906
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,14 AV/25 ST,15858,2025/03/16,-12621097.6915,7064990.3719
Non-Violent,Property,Fraud - Financial,97 ST/97 ST,15859,2025/03/16,-12633874.1991,7102059.9121
Violent,Personal Violence,Assault,23 ST/28 AV,15860,2025/03/15,-12620823.8083,7068075.9516
Non-Violent,Property,Theft Under $5000,111 AV/GROAT RD,15861,2025/03/16,-12640559.4848,7087066.9332
Non-Violent,Property,Theft of Motor Vehicle,116 AV/ST ALBERT TR,15862,2025/03/16,-12639944.5409,7088547.9517
Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,41 AV SW/MERIDIAN ST SW,15863,2025/03/15,-12617453.1704,7056543.918
Disorder,General Disorder,Trespassing,167 AV/ALBANY WY,15864,2025/03/15,-12640967.351,7100160.0535
Non-Violent,Property,Theft Under $5000,175 ST/STONY PLAIN RD,15865,2025/03/15,-12648183.4143,7083771.2949
Violent,Personal Violence,Assault,172 ST/64 AV,15866,2025/03/14,-12648169.4877,7076113.9024
Violent,Personal Violence,Assault,101 ST/113 AV,15867,2025/03/16,-12634062.6105,7087769.5925
Disorder,Disputes/Disturbances,Dispute,106 AV/123 ST,15868,2025/03/16,-12638563.0462,7085269.1632
Disorder,Mischief/Graffiti,Mischief - Property,MEADOWS TC/TAMARACK WY,15869,2025/03/14,-12619960.8077,7072151.9948
Disorder,Mischief/Graffiti,Mischief - Property,35 ST/138A AV,15870,2025/03/15,-12623089.6427,7095042.5204
Disorder,Mischief/Graffiti,Mischief - Property,101A AV/97 ST,15871,2025/03/15,-12633186.0187,7084104.1331
Non-Violent,Property,Fraud General,103A AV/96 ST,15872,2025/03/15,-12632955.6873,7084877.394
